articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
2-10-2014,135,135,n,0,MATCH,NA
2-10-2014,106,106,n,0,MATCH,NA
2-10-2014,3.99,3.99,mean,0,MATCH,NA
2-10-2014,2.84,2.84,mean,0,MATCH,NA
2-10-2014,3.81,3.81,mean,0,MATCH,NA
2-10-2014,3.95,3.95,mean,0,MATCH,NA
2-10-2014,3.54,3.54,mean,0,MATCH,NA
2-10-2014,4.34,4.34,mean,0,MATCH,NA
2-10-2014,3.25,3.25,mean,0,MATCH,NA
2-10-2014,4.04,4.04,mean,0,MATCH,NA
2-10-2014,4.19,4.19,mean,0,MATCH,NA
2-10-2014,3.82,3.82,mean,0,MATCH,NA
2-10-2014,0.35,0.35,mean,0,MATCH,NA
2-10-2014,0.4,0.4,mean,0,MATCH,NA
2-10-2014,0.22,0.22,mean,0,MATCH,NA
2-10-2014,0.23,0.23,mean,0,MATCH,NA
2-10-2014,0.29,0.29,mean,0,MATCH,NA
2-10-2014,0.005,0.005,p,0,MATCH,NA
2-10-2014,<0.001,0.0003701906,p,NA,MATCH,TRUE
2-10-2014,0.02,0.02,p,0,MATCH,NA
2-10-2014,0.03,0.03,p,0,MATCH,NA
2-10-2014,0.003,0.003,p,0,MATCH,NA
